       t       x         rho           U           p        rhoU           E
   0.000   0.005       1.000     100.000       1.000     100.000    5002.500
   0.000   0.015       1.000     100.000       1.000     100.000    5002.500
   0.000   0.025       1.000     100.000       1.000     100.000    5002.500
   0.000   0.035       1.000     100.000       1.000     100.000    5002.500
   0.000   0.045       1.000     100.000       1.000     100.000    5002.500
   0.000   0.055       1.000     100.000       1.000     100.000    5002.500
   0.000   0.065       1.000     100.000       1.000     100.000    5002.500
   0.000   0.075       1.000     100.000       1.000     100.000    5002.500
   0.000   0.085       1.000     100.000       1.000     100.000    5002.500
   0.000   0.095       1.000     100.000       1.000     100.000    5002.500
   0.000   0.105       1.000     100.000       1.000     100.000    5002.500
   0.000   0.115       1.000     100.000       1.000     100.000    5002.500
   0.000   0.125       1.000     100.000       1.000     100.000    5002.500
   0.000   0.135       1.000     100.000       1.000     100.000    5002.500
   0.000   0.145       1.000     100.000       1.000     100.000    5002.500
   0.000   0.155       1.000     100.000       1.000     100.000    5002.500
   0.000   0.165       1.000     100.000       1.000     100.000    5002.500
   0.000   0.175       1.000     100.000       1.000     100.000    5002.500
   0.000   0.185       1.000     100.000       1.000     100.000    5002.500
   0.000   0.195       1.000     100.000       1.000     100.000    5002.500
   0.000   0.205       1.000     100.000       1.000     100.000    5002.500
   0.000   0.215       1.000     100.000       1.000     100.000    5002.500
   0.000   0.225       1.000     100.000       1.000     100.000    5002.500
   0.000   0.235       1.000     100.000       1.000     100.000    5002.500
   0.000   0.245       1.000     100.000       1.000     100.000    5002.500
   0.000   0.255       1.000     100.000       1.000     100.000    5002.500
   0.000   0.265       1.000     100.000       1.000     100.000    5002.500
   0.000   0.275       1.000     100.000       1.000     100.000    5002.500
   0.000   0.285       1.000     100.000       1.000     100.000    5002.500
   0.000   0.295       1.000     100.000       1.000     100.000    5002.500
   0.000   0.305       1.000     100.000       1.000     100.000    5002.500
   0.000   0.315       1.000     100.000       1.000     100.000    5002.500
   0.000   0.325       1.000     100.000       1.000     100.000    5002.500
   0.000   0.335       1.000     100.000       1.000     100.000    5002.500
   0.000   0.345       1.000     100.000       1.000     100.000    5002.500
   0.000   0.355       1.000     100.000       1.000     100.000    5002.500
   0.000   0.365       1.000     100.000       1.000     100.000    5002.500
   0.000   0.375       1.000     100.000       1.000     100.000    5002.500
   0.000   0.385       1.000     100.000       1.000     100.000    5002.500
   0.000   0.395       1.000     100.000       1.000     100.000    5002.500
   0.000   0.405       1.000     100.000       1.000     100.000    5002.500
   0.000   0.415       1.000     100.000       1.000     100.000    5002.500
   0.000   0.425       1.000     100.000       1.000     100.000    5002.500
   0.000   0.435       1.000     100.000       1.000     100.000    5002.500
   0.000   0.445       1.000     100.000       1.000     100.000    5002.500
   0.000   0.455       1.000     100.000       1.000     100.000    5002.500
   0.000   0.465       1.000     100.000       1.000     100.000    5002.500
   0.000   0.475       1.000     100.000       1.000     100.000    5002.500
   0.000   0.485       1.000     100.000       1.000     100.000    5002.500
   0.000   0.495       1.000     100.000       1.000     100.000    5002.500
   0.000   0.505       1.100       1.000       1.200       1.100       3.550
   0.000   0.515       1.100       1.000       1.200       1.100       3.550
   0.000   0.525       1.100       1.000       1.200       1.100       3.550
   0.000   0.535       1.100       1.000       1.200       1.100       3.550
   0.000   0.545       1.100       1.000       1.200       1.100       3.550
   0.000   0.555       1.100       1.000       1.200       1.100       3.550
   0.000   0.565       1.100       1.000       1.200       1.100       3.550
   0.000   0.575       1.100       1.000       1.200       1.100       3.550
   0.000   0.585       1.100       1.000       1.200       1.100       3.550
   0.000   0.595       1.100       1.000       1.200       1.100       3.550
   0.000   0.605       1.100       1.000       1.200       1.100       3.550
   0.000   0.615       1.100       1.000       1.200       1.100       3.550
   0.000   0.625       1.100       1.000       1.200       1.100       3.550
   0.000   0.635       1.100       1.000       1.200       1.100       3.550
   0.000   0.645       1.100       1.000       1.200       1.100       3.550
   0.000   0.655       1.100       1.000       1.200       1.100       3.550
   0.000   0.665       1.100       1.000       1.200       1.100       3.550
   0.000   0.675       1.100       1.000       1.200       1.100       3.550
   0.000   0.685       1.100       1.000       1.200       1.100       3.550
   0.000   0.695       1.100       1.000       1.200       1.100       3.550
   0.000   0.705       1.100       1.000       1.200       1.100       3.550
   0.000   0.715       1.100       1.000       1.200       1.100       3.550
   0.000   0.725       1.100       1.000       1.200       1.100       3.550
   0.000   0.735       1.100       1.000       1.200       1.100       3.550
   0.000   0.745       1.100       1.000       1.200       1.100       3.550
   0.000   0.755       1.100       1.000       1.200       1.100       3.550
   0.000   0.765       1.100       1.000       1.200       1.100       3.550
   0.000   0.775       1.100       1.000       1.200       1.100       3.550
