           t           x           rho             U             p          rhoU             E
     0.00845    -0.01500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.00845    -0.00500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.00845     0.00500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.00845     0.01500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.00845     0.02500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.00845     0.03500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.00845     0.04500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.00845     0.05500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.00845     0.06500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.00845     0.07500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.00845     0.08500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.00845     0.09500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.00845     0.10500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.00845     0.11500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.00845     0.12500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.00845     0.13500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.00845     0.14500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.00845     0.15500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.00845     0.16500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.00845     0.17500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.00845     0.18500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.00845     0.19500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.00845     0.20500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.00845     0.21500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.00845     0.22500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.00845     0.23500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.00845     0.24500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.00845     0.25500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.00845     0.26500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.00845     0.27500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.00845     0.28500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.00845     0.29500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.00845     0.30500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.00845     0.31500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.00845     0.32500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.00845     0.33500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.00845     0.34500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.00845     0.35500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.00845     0.36500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.00845     0.37500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.00845     0.38500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.00845     0.39500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.00845     0.40500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.00845     0.41500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.00845     0.42500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.00845     0.43500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.00845     0.44500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.00845     0.45500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.00845     0.46500      1.000000      0.001096      0.998704      0.001096      2.496760
     0.00845     0.47500      0.999994      0.014501      0.982937      0.014501      2.457447
     0.00845     0.48500      0.999071      0.098716      0.882880      0.098625      2.212068
     0.00845     0.49500      0.979099      0.261218      0.748946      0.255758      1.905770
     0.00845     0.50500      0.475445      0.390741      0.257967      0.185776      0.681213
     0.00845     0.51500      0.273601      0.310061      0.164699      0.084833      0.424899
     0.00845     0.52500      0.150031      0.093255      0.112731      0.013991      0.282479
     0.00845     0.53500      0.134895      0.041502      0.105481      0.005598      0.263819
     0.00845     0.54500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.00845     0.55500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.00845     0.56500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.00845     0.57500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.00845     0.58500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.00845     0.59500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.00845     0.60500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.00845     0.61500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.00845     0.62500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.00845     0.63500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.00845     0.64500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.00845     0.65500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.00845     0.66500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.00845     0.67500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.00845     0.68500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.00845     0.69500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.00845     0.70500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.00845     0.71500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.00845     0.72500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.00845     0.73500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.00845     0.74500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.00845     0.75500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.00845     0.76500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.00845     0.77500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.00845     0.78500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.00845     0.79500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.00845     0.80500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.00845     0.81500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.00845     0.82500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.00845     0.83500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.00845     0.84500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.00845     0.85500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.00845     0.86500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.00845     0.87500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.00845     0.88500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.00845     0.89500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.00845     0.90500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.00845     0.91500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.00845     0.92500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.00845     0.93500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.00845     0.94500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.00845     0.95500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.00845     0.96500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.00845     0.97500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.00845     0.98500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.00845     0.99500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.00845     1.00500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.00845     1.01500      0.125000      0.000000      0.100000      0.000000      0.250000
